"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX"
"360","469.27272727272725","469.27272727272725","469.27272727272725","408.46666666666664","408.46666666666664","408.46666666666664","527.7777777777778","527.7777777777778","527.7777777777778","489.0833333333333","489.0833333333333","489.0833333333333"
"364","387.25","387.25","387.25","462","462","462","696.4285714285714","696.4285714285714","696.4285714285714","422","422","422"
"368","362.8181818181818","362.8181818181818","362.8181818181818","448.1818181818182","448.1818181818182","448.1818181818182","596.1818181818181","596.1818181818181","596.1818181818181","706.1","706.1","706.1"
"372","331.6666666666667","331.6666666666667","331.6666666666667","460.57142857142856","460.57142857142856","460.57142857142856","565.625","565.625","565.625","519.5","519.5","519.5"
"376","421.8888888888889","421.8888888888889","421.8888888888889","554","554","554","481","481","481","436.6","436.6","436.6"
"380","508.90909090909093","508.90909090909093","508.90909090909093","348.90909090909093","348.90909090909093","348.90909090909093","586.1","586.1","586.1","603.3333333333334","603.3333333333334","603.3333333333334"
"384","505","505","505","508.5833333333333","508.5833333333333","508.5833333333333","460","460","460","482.55555555555554","482.55555555555554","482.55555555555554"
"388","399.55555555555554","399.55555555555554","399.55555555555554","478","478","478","511.5","511.5","511.5","422.3333333333333","422.3333333333333","422.3333333333333"
"392","414.22222222222223","414.22222222222223","414.22222222222223","304.5","304.5","304.5","448.55555555555554","448.55555555555554","448.55555555555554","385.1","385.1","385.1"
"396","389.8","389.8","389.8","382.9230769230769","382.9230769230769","382.9230769230769","433.2857142857143","433.2857142857143","433.2857142857143","544.125","544.125","544.125"
"400","486.8","486.8","486.8","402.44444444444446","402.44444444444446","402.44444444444446","441","441","441","461.8888888888889","461.8888888888889","461.8888888888889"
"404","433.57142857142856","433.57142857142856","433.57142857142856","503.6666666666667","503.6666666666667","503.6666666666667","773.5","773.5","773.5","385","385","385"
"408","374.90909090909093","374.90909090909093","374.90909090909093","442.27272727272725","442.27272727272725","442.27272727272725","515.0909090909091","515.0909090909091","515.0909090909091","444.90909090909093","444.90909090909093","444.90909090909093"
"412","526.6666666666666","526.6666666666666","526.6666666666666","515.8181818181819","515.8181818181819","515.8181818181819","549.9333333333333","549.9333333333333","549.9333333333333","445.1818181818182","445.1818181818182","445.1818181818182"
"416","346.54545454545456","346.54545454545456","346.54545454545456","702.5833333333334","702.5833333333334","702.5833333333334","326.625","326.625","326.625","391.55555555555554","391.55555555555554","391.55555555555554"
"420","489.5","489.5","489.5","497.54545454545456","497.54545454545456","497.54545454545456","471.22222222222223","471.22222222222223","471.22222222222223","464.2","464.2","464.2"
"424","402.6666666666667","402.6666666666667","402.6666666666667","417.53846153846155","417.53846153846155","417.53846153846155","398","398","398","433.6","433.6","433.6"
"428","355.55555555555554","355.55555555555554","355.55555555555554","455.9230769230769","455.9230769230769","455.9230769230769","591.2727272727273","591.2727272727273","591.2727272727273","447.5","447.5","447.5"
"432","381.9","381.9","381.9","371.4166666666667","371.4166666666667","371.4166666666667","591.1818181818181","591.1818181818181","591.1818181818181","475.4166666666667","475.4166666666667","475.4166666666667"
"436","417.54545454545456","417.54545454545456","417.54545454545456","399.46153846153845","399.46153846153845","399.46153846153845","469.4","469.4","469.4","418","418","418"
"440","639.5","639.5","639.5","287","287","287","558.2","558.2","558.2","433","433","433"
"444","393.45454545454544","393.45454545454544","393.45454545454544","280.25","280.25","280.25","308.5","308.5","308.5","415.6363636363636","415.6363636363636","415.6363636363636"
"448","354.3333333333333","354.3333333333333","354.3333333333333","427.8","427.8","427.8","302.2","302.2","302.2","404.9230769230769","404.9230769230769","404.9230769230769"
"452","519.9166666666666","519.9166666666666","519.9166666666666","514","514","514","426.77777777777777","426.77777777777777","426.77777777777777","414.1666666666667","414.1666666666667","414.1666666666667"
"456","433.54545454545456","433.54545454545456","433.54545454545456","475.46153846153845","475.46153846153845","475.46153846153845","544.3","544.3","544.3","467.4166666666667","467.4166666666667","467.4166666666667"
"460","407.8333333333333","407.8333333333333","407.8333333333333","428.3636363636364","428.3636363636364","428.3636363636364","413.44444444444446","413.44444444444446","413.44444444444446","419.3333333333333","419.3333333333333","419.3333333333333"
"464","521.8333333333334","521.8333333333334","521.8333333333334","457.6","457.6","457.6","497.75","497.75","497.75","387.1666666666667","387.1666666666667","387.1666666666667"
"468","386.22222222222223","386.22222222222223","386.22222222222223","439.875","439.875","439.875","479.22222222222223","479.22222222222223","479.22222222222223","386.54545454545456","386.54545454545456","386.54545454545456"
"472","348.55555555555554","348.55555555555554","348.55555555555554","508","508","508","707.1428571428571","707.1428571428571","707.1428571428571","417.45454545454544","417.45454545454544","417.45454545454544"
"476","399.6363636363636","399.6363636363636","399.6363636363636","438.6363636363636","438.6363636363636","438.6363636363636","462.44444444444446","462.44444444444446","462.44444444444446","487.84615384615387","487.84615384615387","487.84615384615387"
"480","422.8181818181818","422.8181818181818","422.8181818181818","485.9166666666667","485.9166666666667","485.9166666666667","472.77777777777777","472.77777777777777","472.77777777777777","418.27272727272725","418.27272727272725","418.27272727272725"
"484","442.1818181818182","442.1818181818182","442.1818181818182","463.90909090909093","463.90909090909093","463.90909090909093","","","","587.0666666666667","587.0666666666667","587.0666666666667"
"488","363.3636363636364","363.3636363636364","363.3636363636364","356","356","356","","","","509.4","509.4","509.4"
"492","418.45454545454544","418.45454545454544","418.45454545454544","345.27272727272725","345.27272727272725","345.27272727272725","","","","384.8181818181818","384.8181818181818","384.8181818181818"
"496","423.4166666666667","423.4166666666667","423.4166666666667","416.2142857142857","416.2142857142857","416.2142857142857","","","","","",""
"500","365.1666666666667","365.1666666666667","365.1666666666667","459.4166666666667","459.4166666666667","459.4166666666667","","","","","",""
"504","473","473","473","548.2857142857143","548.2857142857143","548.2857142857143","","","","","",""
"508","459.3","459.3","459.3","657.8461538461538","657.8461538461538","657.8461538461538","","","","","",""
"512","579.6923076923077","579.6923076923077","579.6923076923077","357.90909090909093","357.90909090909093","357.90909090909093","","","","","",""
"516","577.2857142857143","577.2857142857143","577.2857142857143","464.9230769230769","464.9230769230769","464.9230769230769","","","","","",""
"520","418","418","418","604","604","604","","","","","",""
"524","478.27272727272725","478.27272727272725","478.27272727272725","485.625","485.625","485.625","","","","","",""
"528","737.8571428571429","737.8571428571429","737.8571428571429","361","361","361","","","","","",""
"532","529.1666666666666","529.1666666666666","529.1666666666666","417.14285714285717","417.14285714285717","417.14285714285717","","","","","",""
"536","457.92857142857144","457.92857142857144","457.92857142857144","579.3333333333334","579.3333333333334","579.3333333333334","","","","","",""
"540","478.5","478.5","478.5","480.15384615384613","480.15384615384613","480.15384615384613","","","","","",""
"544","474.42857142857144","474.42857142857144","474.42857142857144","610","610","610","","","","","",""
"548","364.2307692307692","364.2307692307692","364.2307692307692","553.6153846153846","553.6153846153846","553.6153846153846","","","","","",""
"552","397.5","397.5","397.5","574.3076923076923","574.3076923076923","574.3076923076923","","","","","",""
"556","443.7857142857143","443.7857142857143","443.7857142857143","628.1818181818181","628.1818181818181","628.1818181818181","","","","","",""
"560","450.26666666666665","450.26666666666665","450.26666666666665","495.61538461538464","495.61538461538464","495.61538461538464","","","","","",""
